user_id,assignment_group,listener_cohort,market,primary_device,baseline_session_min,baseline_discovery_index,baseline_genre_diversity_index,assignment_date
u_00047,control_standard_recs,discovery_seeker,IE,desktop,51.2,0.249,0.454,2026-05-01
u_00048,treatment_ai_dj,casual_listener,US,speaker,43.9,0.509,0.415,2026-05-01
u_00049,treatment_ai_dj,casual_listener,CA,mobile,18.7,0.563,0.4,2026-05-01
u_00050,control_standard_recs,discovery_seeker,US,speaker,42.7,0.224,0.637,2026-05-01
u_00051,treatment_ai_dj,discovery_seeker,IE,speaker,50.9,0.232,0.438,2026-05-01
u_00052,treatment_ai_dj,mood_context_listener,US,car,27.8,0.664,0.202,2026-05-01
u_00053,treatment_ai_dj,genre_loyalist,CA,mobile,49.6,0.212,0.135,2026-05-01
u_00054,treatment_ai_dj,discovery_seeker,US,car,46.5,0.487,0.208,2026-05-01
u_00055,treatment_ai_dj,genre_loyalist,UK,mobile,60.2,0.725,0.165,2026-05-01
u_00056,treatment_ai_dj,casual_listener,US,mobile,33.0,0.195,0.819,2026-05-01
u_00057,control_standard_recs,discovery_seeker,US,mobile,24.8,0.294,0.576,2026-05-01
u_00058,control_standard_recs,genre_loyalist,AU,mobile,33.7,0.281,0.4,2026-05-01
u_00059,control_standard_recs,genre_loyalist,AU,desktop,55.2,0.324,0.819,2026-05-01
u_00060,control_standard_recs,discovery_seeker,AU,mobile,16.1,0.431,0.636,2026-05-01
u_00061,control_standard_recs,mood_context_listener,UK,mobile,13.2,0.266,0.201,2026-05-01
u_00062,control_standard_recs,mood_context_listener,CA,mobile,39.1,0.526,0.167,2026-05-01
u_00063,treatment_ai_dj,genre_loyalist,US,desktop,32.7,0.542,0.382,2026-05-01
u_00064,control_standard_recs,genre_loyalist,US,mobile,38.1,0.383,0.377,2026-05-01
u_00065,control_standard_recs,genre_loyalist,US,speaker,49.3,0.232,0.506,2026-05-01
u_00066,treatment_ai_dj,casual_listener,UK,mobile,31.4,0.645,0.661,2026-05-01
u_00067,control_standard_recs,discovery_seeker,US,mobile,15.5,0.396,0.455,2026-05-01
u_00068,treatment_ai_dj,casual_listener,US,mobile,62.5,0.126,0.943,2026-05-01
u_00069,control_standard_recs,genre_loyalist,UK,mobile,26.0,0.201,0.616,2026-05-01
u_00070,treatment_ai_dj,genre_loyalist,CA,mobile,25.3,0.363,0.556,2026-05-01
u_00071,treatment_ai_dj,casual_listener,US,mobile,51.2,0.298,0.432,2026-05-01
u_00072,control_standard_recs,mood_context_listener,US,car,33.4,0.228,0.733,2026-05-01
u_00073,control_standard_recs,mood_context_listener,US,desktop,37.2,0.341,0.516,2026-05-01
u_00074,treatment_ai_dj,heavy_playlist_user,US,mobile,43.8,0.202,0.293,2026-05-01
u_00075,treatment_ai_dj,genre_loyalist,US,mobile,51.0,0.432,0.466,2026-05-01
u_00076,treatment_ai_dj,mood_context_listener,UK,speaker,34.0,0.327,0.57,2026-05-01
u_00077,treatment_ai_dj,casual_listener,UK,mobile,56.2,0.45,0.34,2026-05-01
u_00078,control_standard_recs,heavy_playlist_user,UK,mobile,12.4,0.412,0.308,2026-05-01
u_00079,control_standard_recs,casual_listener,US,desktop,47.1,0.556,0.473,2026-05-01
u_00080,control_standard_recs,heavy_playlist_user,CA,desktop,27.9,0.462,0.506,2026-05-01
u_00081,treatment_ai_dj,discovery_seeker,US,mobile,54.5,0.488,0.571,2026-05-01
u_00082,treatment_ai_dj,mood_context_listener,US,mobile,39.7,0.457,0.694,2026-05-01
u_00083,control_standard_recs,mood_context_listener,CA,mobile,29.9,0.467,0.456,2026-05-01
u_00084,control_standard_recs,casual_listener,US,desktop,46.0,0.508,0.408,2026-05-01
u_00085,control_standard_recs,genre_loyalist,US,mobile,48.7,0.408,0.565,2026-05-01
u_00086,control_standard_recs,mood_context_listener,AU,mobile,45.7,0.815,0.297,2026-05-01
u_00087,treatment_ai_dj,genre_loyalist,US,mobile,25.6,0.409,0.187,2026-05-01
u_00088,treatment_ai_dj,mood_context_listener,UK,mobile,32.2,0.104,0.365,2026-05-01
u_00089,treatment_ai_dj,genre_loyalist,US,car,38.0,0.237,0.385,2026-05-01
u_00090,control_standard_recs,discovery_seeker,UK,speaker,37.5,0.463,0.418,2026-05-01
u_00091,control_standard_recs,discovery_seeker,US,desktop,47.0,0.402,0.39,2026-05-01
u_00092,treatment_ai_dj,casual_listener,US,mobile,13.8,0.381,0.515,2026-05-01
u_00093,treatment_ai_dj,heavy_playlist_user,UK,mobile,42.0,0.112,0.485,2026-05-01
u_00094,treatment_ai_dj,discovery_seeker,US,mobile,34.5,0.486,0.35,2026-05-01
u_00095,treatment_ai_dj,genre_loyalist,US,mobile,27.9,0.14,0.182,2026-05-01
u_00096,control_standard_recs,genre_loyalist,US,car,29.1,0.701,0.12,2026-05-01
u_00097,treatment_ai_dj,genre_loyalist,US,mobile,35.4,0.29,0.172,2026-05-01
u_00098,control_standard_recs,mood_context_listener,US,mobile,8.0,0.484,0.332,2026-05-01
u_00099,control_standard_recs,mood_context_listener,US,mobile,29.6,0.263,0.264,2026-05-01
u_00100,control_standard_recs,discovery_seeker,AU,desktop,27.5,0.062,0.405,2026-05-01
u_00101,control_standard_recs,heavy_playlist_user,US,mobile,44.4,0.208,0.195,2026-05-01
u_00102,treatment_ai_dj,heavy_playlist_user,US,mobile,28.3,0.353,0.315,2026-05-01
u_00103,control_standard_recs,genre_loyalist,US,mobile,35.4,0.104,0.166,2026-05-01
u_00104,treatment_ai_dj,mood_context_listener,US,speaker,56.5,0.792,0.197,2026-05-01
u_00105,treatment_ai_dj,casual_listener,AU,mobile,49.9,0.398,0.564,2026-05-01
u_00106,control_standard_recs,casual_listener,US,car,48.8,0.322,0.622,2026-05-01
u_00107,control_standard_recs,mood_context_listener,IE,speaker,32.0,0.629,0.225,2026-05-01
u_00108,treatment_ai_dj,discovery_seeker,US,mobile,44.5,0.352,0.318,2026-05-01
u_00109,control_standard_recs,mood_context_listener,CA,speaker,35.2,0.536,0.461,2026-05-01
u_00110,control_standard_recs,mood_context_listener,US,mobile,35.6,0.162,0.786,2026-05-01
u_00111,control_standard_recs,casual_listener,AU,car,42.9,0.618,0.392,2026-05-01
u_00112,control_standard_recs,mood_context_listener,US,mobile,30.8,0.198,0.212,2026-05-01
u_00113,treatment_ai_dj,discovery_seeker,US,mobile,55.9,0.363,0.704,2026-05-01
u_00114,treatment_ai_dj,genre_loyalist,US,mobile,36.1,0.418,0.152,2026-05-01
u_00115,treatment_ai_dj,genre_loyalist,US,mobile,45.4,0.65,0.403,2026-05-01
u_00116,treatment_ai_dj,mood_context_listener,AU,car,55.5,0.464,0.789,2026-05-01
u_00117,treatment_ai_dj,casual_listener,US,mobile,50.4,0.552,0.174,2026-05-01
u_00118,control_standard_recs,genre_loyalist,US,desktop,21.1,0.284,0.397,2026-05-01
u_00119,treatment_ai_dj,heavy_playlist_user,CA,mobile,43.3,0.58,0.386,2026-05-01
u_00120,treatment_ai_dj,heavy_playlist_user,US,car,48.2,0.524,0.906,2026-05-01
u_00121,treatment_ai_dj,heavy_playlist_user,IE,mobile,48.7,0.19,0.586,2026-05-01
u_00122,treatment_ai_dj,casual_listener,CA,mobile,24.6,0.485,0.665,2026-05-01
u_00123,control_standard_recs,discovery_seeker,UK,mobile,30.1,0.222,0.597,2026-05-01
u_00124,control_standard_recs,discovery_seeker,AU,desktop,49.9,0.429,0.679,2026-05-01
u_00125,control_standard_recs,heavy_playlist_user,US,mobile,28.9,0.745,0.394,2026-05-01
u_00126,control_standard_recs,discovery_seeker,US,mobile,34.4,0.49,0.621,2026-05-01
u_00127,treatment_ai_dj,casual_listener,US,mobile,56.9,0.465,0.225,2026-05-01
u_00128,treatment_ai_dj,mood_context_listener,US,desktop,37.4,0.383,0.103,2026-05-01
u_00129,control_standard_recs,casual_listener,CA,mobile,29.3,0.401,0.901,2026-05-01
u_00130,treatment_ai_dj,mood_context_listener,AU,mobile,27.5,0.113,0.79,2026-05-01
u_00131,control_standard_recs,heavy_playlist_user,US,mobile,42.0,0.312,0.778,2026-05-01
u_00132,control_standard_recs,heavy_playlist_user,US,speaker,22.0,0.477,0.575,2026-05-01
u_00133,control_standard_recs,discovery_seeker,IE,car,35.0,0.159,0.911,2026-05-01
u_00134,control_standard_recs,casual_listener,US,mobile,42.0,0.487,0.498,2026-05-01
u_00135,treatment_ai_dj,heavy_playlist_user,US,mobile,53.6,0.476,0.9,2026-05-01
u_00136,control_standard_recs,heavy_playlist_user,US,mobile,46.0,0.139,0.639,2026-05-01
u_00137,treatment_ai_dj,heavy_playlist_user,AU,mobile,29.4,0.626,0.706,2026-05-01
u_00138,treatment_ai_dj,casual_listener,US,mobile,52.1,0.131,0.476,2026-05-01
u_00139,control_standard_recs,heavy_playlist_user,CA,desktop,34.4,0.254,0.697,2026-05-01
u_00140,treatment_ai_dj,heavy_playlist_user,CA,mobile,23.2,0.222,0.226,2026-05-01
u_00141,treatment_ai_dj,genre_loyalist,US,car,35.9,0.303,0.691,2026-05-01
u_00142,control_standard_recs,heavy_playlist_user,US,mobile,55.3,0.319,0.627,2026-05-01
u_00143,control_standard_recs,mood_context_listener,AU,desktop,40.0,0.589,0.781,2026-05-01
u_00144,control_standard_recs,genre_loyalist,US,mobile,38.2,0.53,0.7,2026-05-01
u_00145,control_standard_recs,casual_listener,CA,mobile,57.6,0.689,0.515,2026-05-01
u_00146,control_standard_recs,genre_loyalist,IE,mobile,20.8,0.239,0.64,2026-05-01
u_00147,treatment_ai_dj,casual_listener,UK,mobile,22.6,0.315,0.458,2026-05-01
u_00148,treatment_ai_dj,discovery_seeker,CA,mobile,18.6,0.054,0.345,2026-05-01
u_00149,control_standard_recs,discovery_seeker,CA,desktop,42.5,0.102,0.424,2026-05-01
u_00150,control_standard_recs,casual_listener,AU,car,40.0,0.461,0.261,2026-05-01
u_00151,treatment_ai_dj,discovery_seeker,US,mobile,56.5,0.719,0.483,2026-05-01
u_00152,control_standard_recs,casual_listener,US,mobile,40.9,0.266,0.628,2026-05-01
u_00153,control_standard_recs,heavy_playlist_user,US,mobile,33.2,0.764,0.158,2026-05-01
u_00154,control_standard_recs,mood_context_listener,UK,mobile,38.0,0.153,0.644,2026-05-01
u_00155,treatment_ai_dj,casual_listener,US,mobile,39.4,0.305,0.317,2026-05-01
u_00156,control_standard_recs,mood_context_listener,CA,speaker,17.9,0.257,0.614,2026-05-01
u_00157,treatment_ai_dj,genre_loyalist,US,car,70.5,0.393,0.485,2026-05-01
u_00158,treatment_ai_dj,discovery_seeker,UK,car,44.2,0.501,0.55,2026-05-01
u_00159,control_standard_recs,casual_listener,US,mobile,40.5,0.259,0.092,2026-05-01
u_00160,treatment_ai_dj,genre_loyalist,CA,speaker,45.4,0.883,0.391,2026-05-01
u_00161,control_standard_recs,heavy_playlist_user,US,desktop,46.5,0.522,0.523,2026-05-01
u_00162,treatment_ai_dj,heavy_playlist_user,US,mobile,36.3,0.169,0.631,2026-05-01
u_00163,treatment_ai_dj,casual_listener,US,mobile,30.4,0.162,0.497,2026-05-01
u_00164,treatment_ai_dj,casual_listener,CA,speaker,45.2,0.453,0.609,2026-05-01
u_00165,control_standard_recs,discovery_seeker,US,mobile,42.6,0.067,0.08,2026-05-01
u_00166,treatment_ai_dj,discovery_seeker,US,mobile,28.3,0.745,0.385,2026-05-01
u_00167,control_standard_recs,casual_listener,IE,mobile,55.0,0.501,0.811,2026-05-01
u_00168,control_standard_recs,discovery_seeker,UK,mobile,41.5,0.418,0.511,2026-05-01
u_00169,control_standard_recs,heavy_playlist_user,IE,mobile,46.8,0.291,0.329,2026-05-01
u_00170,treatment_ai_dj,mood_context_listener,US,car,54.7,0.398,0.495,2026-05-01
u_00171,treatment_ai_dj,discovery_seeker,US,desktop,38.3,0.375,0.398,2026-05-01
u_00172,control_standard_recs,mood_context_listener,AU,desktop,41.8,0.7,0.594,2026-05-01
u_00173,treatment_ai_dj,discovery_seeker,US,mobile,47.7,0.299,0.67,2026-05-01
u_00174,control_standard_recs,genre_loyalist,UK,desktop,29.3,0.162,0.523,2026-05-01
u_00175,treatment_ai_dj,casual_listener,US,mobile,38.6,0.246,0.53,2026-05-01
u_00176,control_standard_recs,genre_loyalist,US,mobile,39.5,0.429,0.335,2026-05-01
u_00177,treatment_ai_dj,mood_context_listener,US,mobile,26.5,0.331,0.362,2026-05-01
u_00178,control_standard_recs,genre_loyalist,US,mobile,65.8,0.218,0.558,2026-05-01
u_00179,treatment_ai_dj,discovery_seeker,US,desktop,21.1,0.169,0.205,2026-05-01
u_00180,control_standard_recs,genre_loyalist,US,mobile,22.4,0.386,0.416,2026-05-01
u_00181,control_standard_recs,casual_listener,IE,mobile,53.8,0.266,0.658,2026-05-01
u_00182,control_standard_recs,mood_context_listener,US,mobile,46.6,0.275,0.858,2026-05-01
u_00183,treatment_ai_dj,genre_loyalist,UK,car,25.7,0.503,0.711,2026-05-01
u_00184,treatment_ai_dj,discovery_seeker,CA,mobile,45.3,0.23,0.717,2026-05-01
u_00185,control_standard_recs,genre_loyalist,US,desktop,55.6,0.504,0.11,2026-05-01
u_00186,treatment_ai_dj,genre_loyalist,US,mobile,37.6,0.595,0.649,2026-05-01
u_00187,treatment_ai_dj,casual_listener,CA,mobile,69.2,0.446,0.579,2026-05-01
u_00188,treatment_ai_dj,heavy_playlist_user,UK,car,17.3,0.137,0.323,2026-05-01
u_00189,treatment_ai_dj,discovery_seeker,CA,mobile,46.3,0.361,0.465,2026-05-01
u_00190,control_standard_recs,heavy_playlist_user,CA,mobile,52.0,0.401,0.549,2026-05-01
u_00191,control_standard_recs,heavy_playlist_user,IE,desktop,48.7,0.439,0.304,2026-05-01
u_00192,treatment_ai_dj,heavy_playlist_user,US,mobile,35.5,0.151,0.759,2026-05-01
u_00193,treatment_ai_dj,genre_loyalist,US,speaker,34.5,0.582,0.615,2026-05-01
u_00194,treatment_ai_dj,genre_loyalist,UK,mobile,43.3,0.706,0.441,2026-05-01
u_00195,control_standard_recs,casual_listener,US,mobile,47.8,0.152,0.702,2026-05-01
u_00196,control_standard_recs,heavy_playlist_user,AU,mobile,45.2,0.207,0.404,2026-05-01
u_00197,treatment_ai_dj,discovery_seeker,US,mobile,50.5,0.307,0.507,2026-05-01
u_00198,treatment_ai_dj,genre_loyalist,US,speaker,25.8,0.172,0.19,2026-05-01
u_00199,treatment_ai_dj,discovery_seeker,CA,desktop,35.3,0.098,0.696,2026-05-01
u_00200,treatment_ai_dj,casual_listener,UK,mobile,26.7,0.607,0.069,2026-05-01
u_00201,treatment_ai_dj,genre_loyalist,US,mobile,33.4,0.149,0.676,2026-05-01
u_00202,control_standard_recs,casual_listener,US,desktop,50.2,0.74,0.322,2026-05-01
u_00203,control_standard_recs,heavy_playlist_user,AU,mobile,39.3,0.145,0.421,2026-05-01
u_00204,treatment_ai_dj,discovery_seeker,US,mobile,69.3,0.566,0.062,2026-05-01
u_00205,treatment_ai_dj,casual_listener,AU,mobile,40.3,0.063,0.204,2026-05-01
u_00206,control_standard_recs,genre_loyalist,US,mobile,38.7,0.344,0.637,2026-05-01
u_00207,control_standard_recs,casual_listener,CA,desktop,39.3,0.548,0.3,2026-05-01
u_00208,treatment_ai_dj,discovery_seeker,AU,car,30.3,0.275,0.497,2026-05-01
u_00209,control_standard_recs,heavy_playlist_user,US,mobile,37.3,0.17,0.3,2026-05-01
u_00210,control_standard_recs,casual_listener,US,desktop,51.5,0.149,0.667,2026-05-01
u_00211,treatment_ai_dj,heavy_playlist_user,US,mobile,39.4,0.243,0.749,2026-05-01
u_00212,treatment_ai_dj,casual_listener,UK,mobile,28.5,0.742,0.757,2026-05-01
u_00213,treatment_ai_dj,discovery_seeker,US,mobile,26.9,0.797,0.263,2026-05-01
u_00214,control_standard_recs,heavy_playlist_user,UK,speaker,32.6,0.226,0.665,2026-05-01
u_00215,treatment_ai_dj,discovery_seeker,US,mobile,38.9,0.275,0.83,2026-05-01
u_00216,control_standard_recs,casual_listener,US,mobile,52.3,0.293,0.227,2026-05-01
u_00217,control_standard_recs,discovery_seeker,US,mobile,21.9,0.452,0.335,2026-05-01
u_00218,treatment_ai_dj,discovery_seeker,US,mobile,34.2,0.585,0.427,2026-05-01
u_00219,treatment_ai_dj,mood_context_listener,US,mobile,39.7,0.84,0.458,2026-05-01
u_00220,treatment_ai_dj,discovery_seeker,AU,desktop,16.0,0.306,0.261,2026-05-01
u_00221,treatment_ai_dj,heavy_playlist_user,UK,mobile,28.0,0.547,0.42,2026-05-01
u_00222,treatment_ai_dj,mood_context_listener,US,desktop,29.8,0.401,0.394,2026-05-01
u_00223,control_standard_recs,discovery_seeker,IE,mobile,28.4,0.437,0.223,2026-05-01
u_00224,control_standard_recs,mood_context_listener,UK,mobile,40.3,0.227,0.636,2026-05-01
u_00225,control_standard_recs,discovery_seeker,AU,mobile,36.1,0.356,0.222,2026-05-01
u_00226,control_standard_recs,mood_context_listener,US,mobile,31.3,0.563,0.384,2026-05-01
u_00227,treatment_ai_dj,casual_listener,US,mobile,43.1,0.512,0.374,2026-05-01
u_00228,control_standard_recs,heavy_playlist_user,US,mobile,58.7,0.527,0.491,2026-05-01
u_00229,treatment_ai_dj,genre_loyalist,CA,desktop,57.7,0.525,0.277,2026-05-01
u_00230,treatment_ai_dj,discovery_seeker,US,desktop,14.9,0.351,0.425,2026-05-01
u_00231,treatment_ai_dj,genre_loyalist,US,mobile,44.9,0.615,0.541,2026-05-01
u_00232,treatment_ai_dj,heavy_playlist_user,US,mobile,35.9,0.243,0.502,2026-05-01
u_00233,treatment_ai_dj,casual_listener,US,mobile,39.9,0.401,0.204,2026-05-01
u_00234,control_standard_recs,casual_listener,UK,mobile,33.2,0.345,0.19,2026-05-01
u_00235,control_standard_recs,heavy_playlist_user,US,mobile,39.4,0.388,0.41,2026-05-01
u_00236,treatment_ai_dj,heavy_playlist_user,US,speaker,39.8,0.401,0.709,2026-05-01
u_00237,control_standard_recs,mood_context_listener,UK,mobile,31.1,0.202,0.296,2026-05-01
u_00238,control_standard_recs,heavy_playlist_user,IE,mobile,27.2,0.373,0.197,2026-05-01
u_00239,treatment_ai_dj,mood_context_listener,CA,mobile,32.6,0.461,0.529,2026-05-01
u_00240,control_standard_recs,heavy_playlist_user,AU,mobile,40.8,0.188,0.568,2026-05-01
u_00241,treatment_ai_dj,discovery_seeker,CA,desktop,45.2,0.376,0.633,2026-05-01
u_00242,treatment_ai_dj,casual_listener,UK,mobile,48.2,0.655,0.451,2026-05-01
u_00243,treatment_ai_dj,heavy_playlist_user,US,mobile,32.1,0.461,0.103,2026-05-01
u_00244,control_standard_recs,genre_loyalist,UK,desktop,41.4,0.235,0.338,2026-05-01
u_00245,control_standard_recs,casual_listener,UK,mobile,49.6,0.219,0.108,2026-05-01
u_00246,treatment_ai_dj,discovery_seeker,UK,desktop,52.0,0.44,0.407,2026-05-01
u_00247,control_standard_recs,mood_context_listener,US,mobile,37.3,0.887,0.433,2026-05-01
u_00248,treatment_ai_dj,genre_loyalist,US,mobile,35.3,0.28,0.534,2026-05-01
u_00249,treatment_ai_dj,discovery_seeker,US,desktop,40.3,0.294,0.396,2026-05-01
u_00250,treatment_ai_dj,discovery_seeker,US,mobile,24.2,0.383,0.689,2026-05-01
u_00251,control_standard_recs,casual_listener,US,mobile,35.7,0.36,0.79,2026-05-01
u_00252,control_standard_recs,discovery_seeker,CA,mobile,46.9,0.335,0.616,2026-05-01
u_00253,treatment_ai_dj,discovery_seeker,US,mobile,45.7,0.217,0.496,2026-05-01
u_00254,control_standard_recs,casual_listener,US,desktop,34.8,0.314,0.503,2026-05-01
u_00255,control_standard_recs,heavy_playlist_user,US,speaker,40.6,0.704,0.517,2026-05-01
u_00256,treatment_ai_dj,discovery_seeker,UK,car,28.1,0.42,0.418,2026-05-01
u_00257,treatment_ai_dj,heavy_playlist_user,US,desktop,46.4,0.122,0.534,2026-05-01
u_00258,treatment_ai_dj,mood_context_listener,US,mobile,37.1,0.49,0.394,2026-05-01
u_00259,treatment_ai_dj,casual_listener,US,mobile,34.7,0.835,0.701,2026-05-01
u_00260,control_standard_recs,genre_loyalist,US,mobile,33.7,0.699,0.435,2026-05-01
u_00261,treatment_ai_dj,genre_loyalist,AU,mobile,37.2,0.341,0.427,2026-05-01
u_00262,treatment_ai_dj,mood_context_listener,AU,mobile,32.6,0.164,0.433,2026-05-01
u_00263,control_standard_recs,casual_listener,US,car,45.9,0.636,0.147,2026-05-01
u_00264,treatment_ai_dj,heavy_playlist_user,US,mobile,33.3,0.59,0.201,2026-05-01
u_00265,treatment_ai_dj,genre_loyalist,CA,mobile,57.1,0.028,0.196,2026-05-01
u_00266,treatment_ai_dj,discovery_seeker,US,mobile,55.6,0.582,0.528,2026-05-01
u_00267,treatment_ai_dj,casual_listener,US,speaker,27.3,0.211,0.121,2026-05-01
u_00268,treatment_ai_dj,genre_loyalist,US,desktop,38.8,0.185,0.596,2026-05-01
u_00269,control_standard_recs,heavy_playlist_user,AU,desktop,30.2,0.31,0.497,2026-05-01
u_00270,control_standard_recs,discovery_seeker,US,mobile,34.1,0.452,0.528,2026-05-01
u_00271,treatment_ai_dj,genre_loyalist,US,speaker,62.0,0.243,0.501,2026-05-01
u_00272,treatment_ai_dj,discovery_seeker,CA,mobile,34.3,0.686,0.577,2026-05-01
u_00273,treatment_ai_dj,heavy_playlist_user,US,speaker,42.3,0.505,0.636,2026-05-01
u_00274,treatment_ai_dj,casual_listener,US,mobile,44.5,0.212,0.449,2026-05-01
u_00275,treatment_ai_dj,mood_context_listener,IE,mobile,26.0,0.63,0.6,2026-05-01
u_00276,treatment_ai_dj,discovery_seeker,US,mobile,27.7,0.529,0.09,2026-05-01
u_00277,treatment_ai_dj,discovery_seeker,UK,desktop,23.5,0.374,0.7,2026-05-01
u_00278,treatment_ai_dj,casual_listener,US,mobile,27.4,0.36,0.144,2026-05-01
u_00279,treatment_ai_dj,casual_listener,US,speaker,8.0,0.639,0.483,2026-05-01
u_00280,treatment_ai_dj,genre_loyalist,US,mobile,44.5,0.294,0.506,2026-05-01
u_00281,treatment_ai_dj,discovery_seeker,US,mobile,62.7,0.773,0.507,2026-05-01
u_00282,control_standard_recs,heavy_playlist_user,US,mobile,39.8,0.342,0.443,2026-05-01
u_00283,control_standard_recs,casual_listener,CA,mobile,21.0,0.382,0.317,2026-05-01
u_00284,control_standard_recs,discovery_seeker,US,mobile,30.3,0.418,0.582,2026-05-01
u_00285,treatment_ai_dj,discovery_seeker,US,mobile,32.5,0.294,0.443,2026-05-01
u_00286,control_standard_recs,casual_listener,US,desktop,25.8,0.217,0.125,2026-05-01
u_00287,control_standard_recs,casual_listener,CA,mobile,48.3,0.091,0.615,2026-05-01
u_00288,treatment_ai_dj,discovery_seeker,US,car,47.7,0.544,0.675,2026-05-01
u_00289,control_standard_recs,genre_loyalist,US,desktop,24.1,0.602,0.298,2026-05-01
u_00290,treatment_ai_dj,discovery_seeker,US,speaker,46.7,0.744,0.516,2026-05-01
u_00291,control_standard_recs,genre_loyalist,US,mobile,56.3,0.708,0.37,2026-05-01
u_00292,control_standard_recs,genre_loyalist,US,mobile,60.8,0.218,0.531,2026-05-01
u_00293,treatment_ai_dj,casual_listener,CA,mobile,72.4,0.307,0.659,2026-05-01
u_00294,control_standard_recs,genre_loyalist,US,mobile,27.2,0.392,0.352,2026-05-01
